fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,State,Metro_code,areaname,county,CouSub,countyname,county_town_name,pop2010,acs_2015_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
0106799999,0106799999,573,446,455,742,1000,1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",67,99999,Henry County,Henry County,17302,599,AL,40,1,0.9565943239,-26
0106999999,0106999999,639,485,494,859,1006,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",69,99999,Houston County,Houston County,101547,635,AL,40,1,1.006299213,4
0107199999,0107199999,565,457,463,701,878,1,NCNTY01071N01071,"Jackson County, AL",71,99999,Jackson County,Jackson County,53227,599,AL,40,0,0.9432387312,-34
0107399999,0107399999,830,605,717,1121,1235,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",73,99999,Jefferson County,Jefferson County,658466,773,AL,40,1,1.07373868,57
0107599999,0107599999,562,455,466,697,820,1,NCNTY01075N01075,"Lamar County, AL",75,99999,Lamar County,Lamar County,14564,599,AL,40,0,0.938230384,-37
0107799999,0107799999,612,472,475,794,964,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",77,99999,Lauderdale County,Lauderdale County,92709,609,AL,40,1,1.004926108,3
0107999999,0107999999,624,432,513,852,931,1,METRO19460M19460,"Decatur, AL MSA",79,99999,Lawrence County,Lawrence County,34339,655,AL,40,1,0.9526717557,-31
0108199999,0108199999,739,512,552,985,1233,1,METRO12220M12220,"Auburn-Opelika, AL MSA",81,99999,Lee County,Lee County,140247,813,AL,40,1,0.9089790898,-74
0108399999,0108399999,718,518,590,981,1197,1,METRO26620M26620,"Huntsville, AL MSA",83,99999,Limestone County,Limestone County,82782,711,AL,40,1,1.009845288,7
0108599999,0108599999,778,558,639,1016,1319,1,METRO33860M33860,"Montgomery, AL MSA",85,99999,Lowndes County,Lowndes County,11299,788,AL,40,1,0.9873096447,-10
0108799999,0108799999,562,417,420,819,927,1,NCNTY01087N01087,"Macon County, AL",87,99999,Macon County,Macon County,21452,599,AL,40,0,0.938230384,-37
0108999999,0108999999,718,518,590,981,1197,1,METRO26620M26620,"Huntsville, AL MSA",89,99999,Madison County,Madison County,334811,711,AL,40,1,1.009845288,7
0109199999,0109199999,562,417,420,765,820,1,NCNTY01091N01091,"Marengo County, AL",91,99999,Marengo County,Marengo County,21027,599,AL,40,0,0.938230384,-37
0109399999,0109399999,562,417,420,707,770,1,NCNTY01093N01093,"Marion County, AL",93,99999,Marion County,Marion County,30776,599,AL,40,0,0.938230384,-37
0109599999,0109599999,572,424,427,781,784,1,NCNTY01095N01095,"Marshall County, AL",95,99999,Marshall County,Marshall County,93019,599,AL,40,0,0.9549248748,-27
0109799999,0109799999,778,639,647,1020,1149,1,METRO33660M33660,"Mobile, AL MSA",97,99999,Mobile County,Mobile County,412992,773,AL,40,1,1.006468305,5
0109999999,0109999999,562,442,445,819,981,1,NCNTY01099N01099,"Monroe County, AL",99,99999,Monroe County,Monroe County,23068,599,AL,40,0,0.938230384,-37
0110199999,0110199999,778,558,639,1016,1319,1,METRO33860M33860,"Montgomery, AL MSA",101,99999,Montgomery County,Montgomery County,229363,788,AL,40,1,0.9873096447,-10
0110399999,0110399999,624,432,513,852,931,1,METRO19460M19460,"Decatur, AL MSA",103,99999,Morgan County,Morgan County,119490,655,AL,40,1,0.9526717557,-31
0110599999,0110599999,562,462,486,753,820,1,NCNTY01105N01105,"Perry County, AL",105,99999,Perry County,Perry County,10591,599,AL,40,0,0.938230384,-37
0110799999,0110799999,562,398,420,698,770,1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",107,99999,Pickens County,Pickens County,19746,599,AL,40,1,0.938230384,-37
0110999999,0110999999,577,474,498,828,842,1,NCNTY01109N01109,"Pike County, AL",109,99999,Pike County,Pike County,32899,605,AL,40,0,0.9537190083,-28
0111199999,0111199999,562,429,432,747,779,1,NCNTY01111N01111,"Randolph County, AL",111,99999,Randolph County,Randolph County,22913,619,AL,40,0,0.9079159935,-57
0111399999,0111399999,768,587,650,1065,1341,1,METRO17980M17980,"Columbus, GA-AL MSA",113,99999,Russell County,Russell County,52947,745,AL,40,1,1.030872483,23
0111599999,0111599999,830,605,717,1121,1235,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",115,99999,St. Clair County,St. Clair County,83593,773,AL,40,1,1.07373868,57
0111799999,0111799999,830,605,717,1121,1235,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",117,99999,Shelby County,Shelby County,195085,773,AL,40,1,1.07373868,57
0111999999,0111999999,678,549,554,841,929,1,NCNTY01119N01119,"Sumter County, AL",119,99999,Sumter County,Sumter County,13763,607,AL,40,0,1.116968699,71
0112199999,0112199999,562,417,420,787,804,1,NCNTY01121N01121,"Talladega County, AL",121,99999,Talladega County,Talladega County,82291,603,AL,40,0,0.9320066335,-41
0112399999,0112399999,562,455,462,815,903,1,NCNTY01123N01123,"Tallapoosa County, AL",123,99999,Tallapoosa County,Tallapoosa County,41616,599,AL,40,0,0.938230384,-37
0112599999,0112599999,770,546,633,983,1055,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",125,99999,Tuscaloosa County,Tuscaloosa County,194656,757,AL,40,1,1.017173052,13
0112799999,0112799999,618,468,482,827,955,1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",127,99999,Walker County,Walker County,67023,608,AL,40,1,1.016447368,10
0112999999,0112999999,628,467,471,892,917,1,NCNTY01129N01129,"Washington County, AL",129,99999,Washington County,Washington County,17581,599,AL,40,0,1.048414023,29
0113199999,0113199999,562,446,449,798,820,1,NCNTY01131N01131,"Wilcox County, AL",131,99999,Wilcox County,Wilcox County,11670,599,AL,40,0,0.938230384,-37
0113399999,0113399999,562,430,433,781,981,1,NCNTY01133N01133,"Winston County, AL",133,99999,Winston County,Winston County,24484,599,AL,40,0,0.938230384,-37
0201399999,0201399999,905,654,782,1135,1240,2,NCNTY02013N02013,"Aleutians East Borough, AK",13,99999,Aleutians East Borough,Aleutians East Borough,3141,834,AK,40,0,1.085131894,71
0201699999,0201699999,1485,916,1139,1843,2290,2,NCNTY02016N02016,"Aleutians West Census Area, AK",16,99999,Aleutians West Census Area,Aleutians West Census Area,5561,1472,AK,40,0,1.008831522,13
0202099999,0202099999,1277,871,1009,1861,2230,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",20,99999,Anchorage Municipality,Anchorage Municipality,291826,1199,AK,40,1,1.065054212,78
0205099999,0205099999,1353,1008,1161,1679,1855,2,NCNTY02050N02050,"Bethel Census Area, AK",50,99999,Bethel Census Area,Bethel Census Area,17013,1289,AK,40,0,1.049650892,64
0206099999,0206099999,1180,853,882,1495,1820,2,NCNTY02060N02060,"Bristol Bay Borough, AK",60,99999,Bristol Bay Borough,Bristol Bay Borough,997,1083,AK,40,0,1.08956602,97
0206899999,0206899999,1077,779,850,1382,1661,2,NCNTY02068N02068,"Denali Borough, AK",68,99999,Denali Borough,Denali Borough,1826,1346,AK,40,0,0.8001485884,-269
0207099999,0207099999,1079,780,915,1339,1664,2,NCNTY02070N02070,"Dillingham Census Area, AK",70,99999,Dillingham Census Area,Dillingham Census Area,4847,1056,AK,40,0,1.021780303,23
0209099999,0209099999,1216,750,908,1772,1971,2,METRO21820M21820,"Fairbanks, AK MSA",90,99999,Fairbanks North Star Borough,Fairbanks North Star Borough,97581,1377,AK,40,1,0.8830791576,-161
0210099999,0210099999,884,639,764,1135,1363,2,NCNTY02100N02100,"Haines Borough, AK",100,99999,Haines Borough,Haines Borough,2508,915,AK,40,0,0.9661202186,-31
0210599999,0210599999,777,479,614,1040,1065,2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",105,99999,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2150,763,AK,40,0,1.018348624,14
0211099999,0211099999,1298,804,970,1839,2002,2,NCNTY02110N02110,"Juneau City and Borough, AK",110,99999,Juneau City and Borough,Juneau City and Borough,31275,1262,AK,40,0,1.028526149,36
0212299999,0212299999,984,778,783,1253,1653,2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",122,99999,Kenai Peninsula Borough,Kenai Peninsula Borough,55400,882,AK,40,0,1.115646259,102
0213099999,0213099999,1179,727,938,1637,1949,2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",130,99999,Ketchikan Gateway Borough,Ketchikan Gateway Borough,13477,1097,AK,40,0,1.074749316,82
0215099999,0215099999,947,734,818,1380,1540,2,NCNTY02150N02150,"Kodiak Island Borough, AK",150,99999,Kodiak Island Borough,Kodiak Island Borough,13592,994,AK,40,0,0.9527162978,-47
0216499999,0216499999,836,605,722,1053,1289,2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",164,99999,Lake and Peninsula Borough,Lake and Peninsula Borough,1631,739,AK,40,0,1.131258457,97
0217099999,0217099999,1000,617,747,1457,1746,2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",170,99999,Matanuska-Susitna Borough,Matanuska-Susitna Borough,88995,1007,AK,40,1,0.9930486594,-7
0218099999,0218099999,1360,839,1074,1688,1864,2,NCNTY02180N02180,"Nome Census Area, AK",180,99999,Nome Census Area,Nome Census Area,9492,1357,AK,40,0,1.002210759,3
0218599999,0218599999,874,650,755,1117,1526,2,NCNTY02185N02185,"North Slope Borough, AK",185,99999,North Slope Borough,North Slope Borough,9430,1097,AK,40,0,0.7967183227,-223
0218899999,0218899999,1153,947,996,1431,1580,2,NCNTY02188N02188,"Northwest Arctic Borough, AK",188,99999,Northwest Arctic Borough,Northwest Arctic Borough,7523,1261,AK,40,0,0.9143536875,-108
0219599999,0219599999,1016,627,759,1261,1393,2,NCNTY02195N02195,"Petersburg Census Area, AK",195,99999,Petersburg Census Area,Petersburg Census Area,3815,967,AK,40,0,1.050672182,49
0219899999,0219899999,920,756,756,1142,1261,2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",198,99999,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,5559,904,AK,40,0,1.017699115,16
0222099999,0222099999,1189,813,888,1637,1834,2,NCNTY02220N02220,"Sitka City and Borough, AK",220,99999,Sitka City and Borough,Sitka City and Borough,8881,1158,AK,40,0,1.026770294,31
0223099999,0223099999,1235,893,943,1585,1905,2,NCNTY02230N02230,"Skagway Municipality, AK",230,99999,Skagway Municipality,Skagway Municipality,968,1194,AK,40,0,1.034338358,41
0224099999,0224099999,1157,837,1000,1672,2020,2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",240,99999,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,7029,976,AK,40,0,1.18545082,181
0226199999,0226199999,1125,835,840,1396,1735,2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",261,99999,Valdez-Cordova Census Area,Valdez-Cordova Census Area,9636,1019,AK,40,0,1.104023553,106
0227099999,0227099999,872,631,689,1082,1195,2,NCNTY02270N02270,"Wade Hampton Census Area, AK",270,99999,Wade Hampton Census Area,Wade Hampton Census Area,7459,869,AK,40,0,1.003452244,3
0227599999,0227599999,846,612,632,1233,1305,2,NCNTY02275N02275,"Wrangell City and Borough, AK",275,99999,Wrangell City and Borough,Wrangell City and Borough,2369,830,AK,40,0,1.019277108,16
0228299999,0228299999,984,712,777,1234,1518,2,NCNTY02282N02282,"Yakutat City and Borough, AK",282,99999,Yakutat City and Borough,Yakutat City and Borough,662,870,AK,40,0,1.131034483,114
0229099999,0229099999,767,584,588,952,1183,2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",290,99999,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,5588,734,AK,40,0,1.044959128,33
0400199999,0400199999,855,545,692,1196,1463,4,NCNTY04001N04001,"Apache County, AZ",1,99999,Apache County,Apache County,71518,643,AZ,40,0,1.32970451,212
0400399999,0400399999,793,618,639,1104,1384,4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",3,99999,Cochise County,Cochise County,131346,751,AZ,40,1,1.055925433,42
0400599999,0400599999,1121,751,898,1391,1666,4,METRO22380M22380,"Flagstaff, AZ MSA",5,99999,Coconino County,Coconino County,134421,1033,AZ,40,1,1.085188771,88
0400799999,0400799999,814,629,633,1112,1116,4,NCNTY04007N04007,"Gila County, AZ",7,99999,Gila County,Gila County,53597,838,AZ,40,0,0.9713603819,-24
0400999999,0400999999,748,461,642,1078,1082,4,NCNTY04009N04009,"Graham County, AZ",9,99999,Graham County,Graham County,37220,763,AZ,40,0,0.9803407602,-15
0401199999,0401199999,666,501,572,826,1021,4,NCNTY04011N04011,"Greenlee County, AZ",11,99999,Greenlee County,Greenlee County,8437,643,AZ,40,0,1.035769829,23
0401299999,0401299999,702,521,524,871,1226,4,NCNTY04012N04012,"La Paz County, AZ",12,99999,La Paz County,La Paz County,20489,752,AZ,40,0,0.9335106383,-50
0401399999,0401399999,903,589,726,1316,1540,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",13,99999,Maricopa County,Maricopa County,3817117,908,AZ,40,1,0.9944933921,-5
0401599999,0401599999,745,499,585,1068,1169,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",15,99999,Mohave County,Mohave County,200186,752,AZ,40,1,0.9906914894,-7
0401799999,0401799999,754,602,606,1018,1167,4,NCNTY04017N04017,"Navajo County, AZ",17,99999,Navajo County,Navajo County,107449,727,AZ,40,0,1.037138927,27
0401999999,0401999999,852,525,637,1242,1463,4,METRO46060M46060,"Tucson, AZ MSA",19,99999,Pima County,Pima County,980263,822,AZ,40,1,1.03649635,30
0402199999,0402199999,903,589,726,1316,1540,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",21,99999,Pinal County,Pinal County,375770,908,AZ,40,1,0.9944933921,-5
0402399999,0402399999,691,513,516,941,1097,4,NCNTY04023N04023,"Santa Cruz County, AZ",23,99999,Santa Cruz County,Santa Cruz County,47420,763,AZ,40,0,0.9056356488,-72
0402599999,0402599999,829,653,657,1208,1266,4,METRO39140M39140,"Prescott, AZ MSA",25,99999,Yavapai County,Yavapai County,211033,796,AZ,40,1,1.041457286,33
0402799999,0402799999,813,603,607,1185,1409,4,METRO49740M49740,"Yuma, AZ MSA",27,99999,Yuma County,Yuma County,195751,854,AZ,40,1,0.9519906323,-41
0500199999,0500199999,614,483,518,794,869,5,NCNTY05001N05001,"Arkansas County, AR",1,99999,Arkansas County,Arkansas County,19019,592,AR,40,0,1.037162162,22
0500399999,0500399999,610,479,511,826,836,5,NCNTY05003N05003,"Ashley County, AR",3,99999,Ashley County,Ashley County,21853,584,AR,40,0,1.044520548,26
0500599999,0500599999,635,471,474,873,1041,5,NCNTY05005N05005,"Baxter County, AR",5,99999,Baxter County,Baxter County,41513,608,AR,40,0,1.044407895,27
0500799999,0500799999,701,512,542,1018,1224,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",7,99999,Benton County,Benton County,221339,719,AR,40,1,0.9749652295,-18
0500999999,0500999999,612,454,457,873,1068,5,NCNTY05009N05009,"Boone County, AR",9,99999,Boone County,Boone County,36903,597,AR,40,0,1.025125628,15
0501199999,0501199999,641,444,479,797,879,5,NCNTY05011N05011,"Bradley County, AR",11,99999,Bradley County,Bradley County,11508,584,AR,40,0,1.09760274,57
0501399999,0501399999,615,483,485,774,893,5,NCNTY05013N05013,"Calhoun County, AR",13,99999,Calhoun County,Calhoun County,5368,624,AR,40,0,0.9855769231,-9
0501599999,0501599999,613,504,505,801,840,5,NCNTY05015N05015,"Carroll County, AR",15,99999,Carroll County,Carroll County,27446,607,AR,40,0,1.009884679,6
0501799999,0501799999,610,479,492,889,1065,5,NCNTY05017N05017,"Chicot County, AR",17,99999,Chicot County,Chicot County,11800,584,AR,40,0,1.044520548,26
0501999999,0501999999,610,453,456,842,936,5,NCNTY05019N05019,"Clark County, AR",19,99999,Clark County,Clark County,22995,584,AR,40,0,1.044520548,26
0502199999,0502199999,610,453,456,889,966,5,NCNTY05021N05021,"Clay County, AR",21,99999,Clay County,Clay County,16083,584,AR,40,0,1.044520548,26
0502399999,0502399999,610,453,456,889,922,5,NCNTY05023N05023,"Cleburne County, AR",23,99999,Cleburne County,Cleburne County,25970,609,AR,40,0,1.001642036,1
0502599999,0502599999,644,397,491,799,974,5,METRO38220M38220,"Pine Bluff, AR MSA",25,99999,Cleveland County,Cleveland County,8689,641,AR,40,1,1.004680187,3
0502799999,0502799999,610,479,509,889,946,5,NCNTY05027N05027,"Columbia County, AR",27,99999,Columbia County,Columbia County,24552,584,AR,40,0,1.044520548,26
0502999999,0502999999,710,465,530,881,1160,5,NCNTY05029N05029,"Conway County, AR",29,99999,Conway County,Conway County,21273,632,AR,40,0,1.123417722,78
0503199999,0503199999,639,394,520,873,876,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",31,99999,Craighead County,Craighead County,96443,626,AR,40,1,1.020766773,13
0503399999,0503399999,651,484,486,869,1047,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",33,99999,Crawford County,Crawford County,61948,638,AR,40,1,1.020376176,13
0503599999,0503599999,817,595,692,1114,1293,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",35,99999,Crittenden County,Crittenden County,50902,832,AR,40,1,0.9819711538,-15
0503799999,0503799999,652,484,487,843,956,5,NCNTY05037N05037,"Cross County, AR",37,99999,Cross County,Cross County,17870,636,AR,40,0,1.025157233,16
0503999999,0503999999,610,479,480,881,886,5,NCNTY05039N05039,"Dallas County, AR",39,99999,Dallas County,Dallas County,8116,584,AR,40,0,1.044520548,26
0504199999,0504199999,610,454,457,845,886,5,NCNTY05041N05041,"Desha County, AR",41,99999,Desha County,Desha County,13008,584,AR,40,0,1.044520548,26
0504399999,0504399999,610,453,456,820,840,5,NCNTY05043N05043,"Drew County, AR",43,99999,Drew County,Drew County,18509,584,AR,40,0,1.044520548,26
0504599999,0504599999,759,520,625,1032,1208,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",45,99999,Faulkner County,Faulkner County,113237,744,AR,40,1,1.02016129,15
0504799999,0504799999,620,460,463,769,900,5,NCNTY05047N05047,"Franklin County, AR",47,99999,Franklin County,Franklin County,18125,623,AR,40,0,0.9951845907,-3
0504999999,0504999999,610,453,456,811,886,5,NCNTY05049N05049,"Fulton County, AR",49,99999,Fulton County,Fulton County,12245,584,AR,40,0,1.044520548,26
0505199999,0505199999,731,451,546,924,1109,5,METRO26300M26300,"Hot Springs, AR MSA",51,99999,Garland County,Garland County,96024,795,AR,40,1,0.9194968553,-64
0505399999,0505399999,610,448,527,889,1065,5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",53,99999,Grant County,Grant County,17853,584,AR,40,1,1.044520548,26
0505599999,0505599999,642,396,524,827,1054,5,NCNTY05055N05055,"Greene County, AR",55,99999,Greene County,Greene County,42090,627,AR,40,0,1.023923445,15
0505799999,0505799999,613,482,496,829,852,5,NCNTY05057N05057,"Hempstead County, AR",57,99999,Hempstead County,Hempstead County,22609,584,AR,40,0,1.049657534,29
0505999999,0505999999,613,482,530,800,916,5,NCNTY05059N05059,"Hot Spring County, AR",59,99999,Hot Spring County,Hot Spring County,32923,605,AR,40,0,1.01322314,8
0506199999,0506199999,610,381,456,788,968,5,NCNTY05061N05061,"Howard County, AR",61,99999,Howard County,Howard County,13789,584,AR,40,0,1.044520548,26
0506399999,0506399999,615,456,459,773,929,5,NCNTY05063N05063,"Independence County, AR",63,99999,Independence County,Independence County,36647,590,AR,40,0,1.042372881,25
0506599999,0506599999,610,376,493,806,924,5,NCNTY05065N05065,"Izard County, AR",65,99999,Izard County,Izard County,13696,584,AR,40,0,1.044520548,26
0506799999,0506799999,610,376,456,801,960,5,NCNTY05067N05067,"Jackson County, AR",67,99999,Jackson County,Jackson County,17997,584,AR,40,0,1.044520548,26
0506999999,0506999999,644,397,491,799,974,5,METRO38220M38220,"Pine Bluff, AR MSA",69,99999,Jefferson County,Jefferson County,77435,641,AR,40,1,1.004680187,3
0507199999,0507199999,610,453,456,760,836,5,NCNTY05071N05071,"Johnson County, AR",71,99999,Johnson County,Johnson County,25540,601,AR,40,0,1.014975042,9
0507399999,0507399999,610,453,456,781,880,5,NCNTY05073N05073,"Lafayette County, AR",73,99999,Lafayette County,Lafayette County,7645,584,AR,40,0,1.044520548,26
0507599999,0507599999,610,455,458,817,854,5,NCNTY05075N05075,"Lawrence County, AR",75,99999,Lawrence County,Lawrence County,17415,584,AR,40,0,1.044520548,26
0507799999,0507799999,610,453,456,757,850,5,NCNTY05077N05077,"Lee County, AR",77,99999,Lee County,Lee County,10424,605,AR,40,0,1.008264463,5
0507999999,0507999999,644,397,491,799,974,5,METRO38220M38220,"Pine Bluff, AR MSA",79,99999,Lincoln County,Lincoln County,14134,641,AR,40,1,1.004680187,3
0508199999,0508199999,610,453,456,757,1065,5,METRO45500N05081,"Little River County, AR HUD Metro FMR Area",81,99999,Little River County,Little River County,13171,584,AR,40,1,1.044520548,26
0508399999,0508399999,610,423,456,860,981,5,NCNTY05083N05083,"Logan County, AR",83,99999,Logan County,Logan County,22353,584,AR,40,0,1.044520548,26
0508599999,0508599999,759,520,625,1032,1208,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",85,99999,Lonoke County,Lonoke County,68356,744,AR,40,1,1.02016129,15
